Name,Widgets,Stage,Type,Segment,Mula Product Roadmap,Related Projects,Mula Pub Contacts,Ads Enabled,Platform
Chic City Living,Smart-Scroll,Signed,Publisher,Tier 2,,Chic City Living Launch (https://www.notion.so/Chic-City-Living-Launch-27203985e9be8076a4c4dec8c022bde5?pvs=21),Alexandra (https://www.notion.so/Alexandra-27203985e9be80ad8668c52ef4e45153?pvs=21),No,"Mobile, Web"
Stylecaster,Top-Shelf,Onboarding,Publisher,Tier 1,,StyleCaster Launch (https://www.notion.so/StyleCaster-Launch-26903985e9be80e89d02f831cd63436f?pvs=21),Cristina (https://www.notion.so/Cristina-26a03985e9be8177aacbe0aad96e0af3?pvs=21),No,"Mobile, Web"
On3,Smart-Scroll,Pilot Live,Publisher,Tier 1,,"On3 Expansion (https://www.notion.so/On3-Expansion-26803985e9be8092ba8eca36b73370ab?pvs=21), On3 Launch (https://www.notion.so/On3-Launch-26803985e9be806dbb1af8babcd459d4?pvs=21)","Adam (https://www.notion.so/Adam-26a03985e9be812daad1d1a95bd49821?pvs=21), Will (https://www.notion.so/Will-26a03985e9be8132868fc245b2838fa3?pvs=21), William (https://www.notion.so/William-26a03985e9be81558fb3e2bcafccf90c?pvs=21), Brandon (https://www.notion.so/Brandon-26a03985e9be81f9acb4ed1bcc688ba4?pvs=21)",No,"Mobile, Web"
Spotcovery,,Pilot Live,Publisher,Tier 3,,,,No,"Mobile, Web"
Defpen,Smart-Scroll,Pilot Live,Publisher,Tier 3,,Defpen Launch (https://www.notion.so/Defpen-Launch-26a03985e9be802a855ef7b234c9ca3b?pvs=21),Jared (https://www.notion.so/Jared-26a03985e9be8132afa8dc48cd343b39?pvs=21),No,"Mobile, Web"
Brit + Co,"Smart-Scroll, Top-Shelf",Pilot Live,Publisher,Tier 1,,Brit+Co Expansion (https://www.notion.so/Brit-Co-Expansion-26a03985e9be805ca684ee867f94612c?pvs=21),"Alison (https://www.notion.so/Alison-26a03985e9be815aadd8fb293729c9b2?pvs=21), Jemal (https://www.notion.so/Jemal-26a03985e9be81ea9dd9cb66ac74b5a9?pvs=21), Matt (https://www.notion.so/Matt-26a03985e9be81898382c5f91aa2b87e?pvs=21), Matthew (https://www.notion.so/Matthew-26a03985e9be816abab1febfcfa5e5df?pvs=21), Justin (https://www.notion.so/Justin-26a03985e9be81ef970ac2a17a8dc058?pvs=21)",Yes,Mobile
Freestar,,Live,Channel,Tier 1,,,"Lindsay (https://www.notion.so/Lindsay-26a03985e9be810f9ee6c08b3d14172b?pvs=21), Destiny (https://www.notion.so/Destiny-26a03985e9be812593e0ec4514d399fd?pvs=21), Shaina (https://www.notion.so/Shaina-26a03985e9be81fd9970d5fd1ee15acf?pvs=21)",NA,"Mobile, Web"
SHE Media,,Live,Channel,Tier 1,,"Essence Launch (https://www.notion.so/Essence-Launch-26a03985e9be8097aa5af7bada12c418?pvs=21), StyleCaster Launch (https://www.notion.so/StyleCaster-Launch-26903985e9be80e89d02f831cd63436f?pvs=21)","Jiji (https://www.notion.so/Jiji-26a03985e9be812eb779d2268eba68e9?pvs=21), Stephanie (https://www.notion.so/Stephanie-26a03985e9be81348509d714600d9fd4?pvs=21)",NA,"Mobile, Web"
Swimming World,Smart-Scroll,Live,Publisher,Tier 2,,Swimming World Expansion (https://www.notion.so/Swimming-World-Expansion-26a03985e9be80e6b32ed15755a57964?pvs=21),Jack (https://www.notion.so/Jack-26a03985e9be81548e76dd8cf0f4f683?pvs=21),No,"Mobile, Web"
RevContent (Demand),Smart-Scroll,Live,Demand,Tier 1,,RevContent Demand Integration (https://www.notion.so/RevContent-Demand-Integration-26a03985e9be80e5886bfd366e1daabf?pvs=21),Trey (https://www.notion.so/Trey-26a03985e9be8175bf33ef888a1bfe31?pvs=21),No,"Mobile, Web"
Grit Daily,,Paused,Publisher,Tier 3,,,,NA,"Mobile, Web"
Gadget Review,,Paused,Publisher,Tier 2,,,Christen (https://www.notion.so/Christen-26a03985e9be81398349d757e578cc31?pvs=21),No,"Mobile, Web"
DeepAI,Top-Shelf,Paused,LLM Chat App,Tier 2,,DeepAI Expansion (https://www.notion.so/DeepAI-Expansion-26a03985e9be806fb85fdc80080a60ea?pvs=21),"Jan (https://www.notion.so/Jan-26a03985e9be81258523f390b1628ce5?pvs=21), Lukas (https://www.notion.so/Lukas-26a03985e9be81b1a8d8c9d39f626def?pvs=21)",NA,"Mobile, Web"
AllWomenstalk,,Paused,Publisher,Tier 3,,,,NA,"Mobile, Web"
Audience Acuity,N/A,GTM,Data,Tier 1,Test Audience-Based Content & Product Reccos (Audience Accuity) (https://www.notion.so/Test-Audience-Based-Content-Product-Reccos-Audience-Accuity-26403985e9be8023a41bf26dcab16418?pvs=21),Audience Acuity Integration (https://www.notion.so/Audience-Acuity-Integration-26c03985e9be807fa85df0608c346dbf?pvs=21),Jeff Berke  (https://www.notion.so/Jeff-Berke-27103985e9be8027bf9dc33f6ee16ede?pvs=21),NA,N/A
The Arena Group,,GTM,Publisher,Tier 1,,,"Melissa (https://www.notion.so/Melissa-26a03985e9be810c99deccb88f835220?pvs=21), Stephanie (https://www.notion.so/Stephanie-26a03985e9be811fb9c0f0f8726ec774?pvs=21), Michael (https://www.notion.so/Michael-26a03985e9be81319b08d5bf4ddb6892?pvs=21), Miles (https://www.notion.so/Miles-26a03985e9be81b6ac6dfaabcea56f1d?pvs=21), Megan (https://www.notion.so/Megan-26a03985e9be81cb873ddcb87c0ac9e6?pvs=21)",NA,"Mobile, Web"
Raptive,,GTM,Demand,Tier 2,,,"Tyler (https://www.notion.so/Tyler-26a03985e9be81508196ff11aa32794e?pvs=21), Hope (https://www.notion.so/Hope-26a03985e9be81b3af1dd93d15184db1?pvs=21)",NA,"Mobile, Web"
Apartment Therapy,,GTM,Publisher,Tier 2,,,Laina (https://www.notion.so/Laina-26a03985e9be8187b8f9e15673f0842d?pvs=21),NA,"Mobile, Web"
Kargo,,GTM,Demand,Tier 2,,,Mark (https://www.notion.so/Mark-26a03985e9be81ba952afe618b05f86a?pvs=21),NA,"Mobile, Web"
RevContent (Channel),Smart-Scroll,GTM,Channel,Tier 1,,,Trey (https://www.notion.so/Trey-26a03985e9be8175bf33ef888a1bfe31?pvs=21),No,"Mobile, Web"
Sports Mockery,,GTM,Publisher,Tier 3,,,,NA,"Mobile, Web"
Paste Media,,GTM,Publisher,Tier 1,,,,NA,"Mobile, Web"
Wild Sky Media,,GTM,Publisher,Tier 2,,,"Kristina (https://www.notion.so/Kristina-26a03985e9be8100bc26f35ca719db2c?pvs=21), Alix (https://www.notion.so/Alix-26a03985e9be819598a7c9afd461384f?pvs=21), Yuliana (https://www.notion.so/Yuliana-26a03985e9be81c6a24cdbdd638da98a?pvs=21)",NA,"Mobile, Web"
The Midst,,GTM,Publisher,Tier 2,,,Amy (https://www.notion.so/Amy-26a03985e9be81dd905dd20f0237a292?pvs=21),Yes,"Mobile, Web"
One Green Planet,,GTM,Publisher,Tier 2,,,Preeta (https://www.notion.so/Preeta-26a03985e9be80d5bccdcc9dc876f9a4?pvs=21),NA,"Mobile, Web"
Essence,Smart-Scroll,GTM,Publisher,Tier 1,,Essence Launch (https://www.notion.so/Essence-Launch-26a03985e9be8097aa5af7bada12c418?pvs=21),,No,"Mobile, Web"
Twist.Win,,GTM,Publisher,Tier 2,,,"Dor (https://www.notion.so/Dor-26a03985e9be8118a526ee6ac2ac28b7?pvs=21), Yoni (https://www.notion.so/Yoni-26a03985e9be81049d0eff539230db21?pvs=21)",NA,"Mobile, Web"
IGN,,GTM,Publisher,Tier 1,,,,NA,"Mobile, Web"
Fastener,N/A,N/A,Channel,Tier 3,,,"Jason (https://www.notion.so/Jason-26a03985e9be8131b1c7c962e6afd056?pvs=21), Yessica (https://www.notion.so/Yessica-26a03985e9be8195b001e84694f6e339?pvs=21), Jay (https://www.notion.so/Jay-26a03985e9be81e1a988c8c90119913c?pvs=21)",NA,"Mobile, Web"